letter,first_pos, second_pos, third_pos, fourth_pos, fifth_pos 
a, 0.05652, 0.16667, 0.12391, 0.06449, 0.03696
b, 0.07826, 0.00435, 0.01957, 0.01522, 0.00362
c, 0.08116, 0.01232, 0.02754, 0.0558, 0.01087
d, 0.05072, 0.01014, 0.03043, 0.04493, 0.06377
e, 0.02899, 0.11667, 0.07681, 0.18188, 0.14493
f, 0.05725, 0.00217, 0.0058, 0.0087, 0.00652
g, 0.03406, 0.00362, 0.03043, 0.02464, 0.01232
h, 0.03116, 0.06159, 0.00435, 0.01377, 0.04565
i, 0.01594, 0.10797, 0.09565, 0.07101, 0.00725
j, 0.01667, 0.0, 0.00217, 0.0, 0.0
k, 0.01667, 0.0029, 0.01377, 0.03043, 0.02899
l, 0.05217, 0.06957, 0.06957, 0.06667, 0.04565
m, 0.05507, 0.01232, 0.02826, 0.02681, 0.01304
n, 0.01957, 0.02536, 0.08406, 0.07899, 0.05942
o, 0.01667, 0.15507, 0.09058, 0.04855, 0.02681
p, 0.05725, 0.02246, 0.01884, 0.02029, 0.00725
q, 0.00725, 0.00145, 0.0, 0.00145, 0.0
r, 0.04275, 0.0971, 0.08478, 0.06594, 0.06739
s, 0.12681, 0.01232, 0.03478, 0.05072, 0.24493
t, 0.07536, 0.02536, 0.05072, 0.07101, 0.07899
u, 0.01087, 0.05942, 0.04783, 0.02391, 0.00072
v, 0.01667, 0.00435, 0.02681, 0.01449, 0.0
w, 0.03986, 0.01014, 0.00725, 0.00942, 0.00435
x, 0.00217, 0.00435, 0.01014, 0.00072, 0.00725
y, 0.00797, 0.01014, 0.01087, 0.0058, 0.08188
z, 0.00145, 0.00145, 0.00435, 0.00362, 0.00072
